datetime,open,high,low,close
2025-03-05 13:00:00+0000,1.28127,1.28269,1.28035,1.28223
2025-03-05 14:00:00+0000,1.28221,1.28696,1.28194,1.28678
2025-03-05 15:00:00+0000,1.28676,1.28729,1.28524,1.28667
2025-03-05 16:00:00+0000,1.28666,1.28789,1.28545,1.286
2025-03-05 17:00:00+0000,1.28599,1.2881,1.28564,1.28792
2025-03-05 18:00:00+0000,1.2879,1.28887,1.28638,1.28882
2025-03-05 19:00:00+0000,1.28883,1.28976,1.28841,1.28966
2025-03-05 20:00:00+0000,1.28966,1.29004,1.28955,1.29002
2025-03-05 21:00:00+0000,1.28999,1.28999,1.2891,1.28916
2025-03-05 22:00:00+0000,1.28916,1.28922,1.28842,1.28906
2025-03-05 23:00:00+0000,1.28908,1.28946,1.2887,1.28895
2025-03-06 00:00:00+0000,1.28893,1.29,1.28866,1.2892
2025-03-06 01:00:00+0000,1.2892,1.29075,1.28897,1.29046
2025-03-06 02:00:00+0000,1.29048,1.29081,1.28917,1.28966
2025-03-06 03:00:00+0000,1.28968,1.2897,1.28859,1.28863
2025-03-06 04:00:00+0000,1.28862,1.29013,1.28831,1.29005
2025-03-06 05:00:00+0000,1.29006,1.29034,1.28948,1.29019
2025-03-06 06:00:00+0000,1.2902,1.29126,1.28947,1.28988
2025-03-06 07:00:00+0000,1.28992,1.29234,1.289,1.29084
2025-03-06 08:00:00+0000,1.29084,1.29141,1.28912,1.28947
2025-03-06 09:00:00+0000,1.28946,1.29051,1.28686,1.28762
2025-03-06 10:00:00+0000,1.28762,1.28832,1.28655,1.28733
2025-03-06 11:00:00+0000,1.28731,1.28859,1.28688,1.28792
2025-03-06 12:00:00+0000,1.28792,1.28973,1.2875,1.28862
2025-03-06 13:00:00+0000,1.2886,1.28971,1.28779,1.28965
2025-03-06 14:00:00+0000,1.28967,1.29061,1.28803,1.29022
2025-03-06 15:00:00+0000,1.29019,1.29183,1.28816,1.28898
2025-03-06 16:00:00+0000,1.28903,1.29133,1.2888,1.28935
2025-03-06 17:00:00+0000,1.28936,1.29015,1.28822,1.28876
2025-03-06 18:00:00+0000,1.28876,1.29001,1.28765,1.28854
2025-03-06 19:00:00+0000,1.28854,1.29031,1.28819,1.28938
